file,journal
89 glassi 1-s2.0-S0921818114002008-main.pdf,Global and Planetary Change 
90 Geophys. J. Int.-2014-Galvez-1222-40.pdf,Geophysical Journal International 
91 Gharti_et_al-2012-International_Journal_for_Numerical_Methods_in_Engineering.pdf,International Journal for Numerical Methods in Engineering
92 gharti 1-s2.0-S0045794912000727-main.pdf,Computers and Structures
93 Geophys. J. Int.-2013-Ghosh-gji-ggt151.pdf,Geophysical Journal International 
94 ghosh grl26463.pdf,Geophysical Research Letters
95 goddeke1-s2.0-S0021999112007115-main.pdf,Journal of Computational Physics
97 groh 1-s2.0-S0921818112001567-main.pdf,Global and Planetary Change 
98 han 1-s2.0-S0019103510004537-main.pdf,Icarus
99 han 1-s2.0-S0019103509005193-main.pdf,Icarus
100 han 1-s2.0-S0019103511004714-main.pdf,Icarus
101 hanasoge aa14345-10.pdf,Astronomy and Astrophysics
102 harig ggge1727.pdf,Geochemistry Geophysics Geosystems
104 heckman_vm_2013_thesis.pdf,Seismological Research Letters
105 2010_9USN10CCEE_Heckman_Kohler_Heaton.pdf,PhD Thesis
106 06175878.pdf,Computational Earthquake Science
107 heister 2010-eccomas.pdf,NA
108 heister chp%3A10.1007%2F978-3-642-15646-5_13.pdf,NA
109 Geophys. J. Int.-2014-Hetland-gji-ggu127.pdf,Geophysical Journal International 
110 hines jgrb17158.pdf,Journal of Geophysical Research 
111 hoinnk 9caa68591e024b88007ee62f35897ff0ab8c6b384d810e5270b22a44b2dc351c.pdf,Geophysical Journal International 
112 hoink c099664c5052a304076569e783059ace18e002336b91964764d5059c7721c986.pdf,Geophysical Journal International 
113 howard os-10-473-2014.pdf,Ocean Science
115 hsu ggge1966.pdf,Geochemistry Geophysics Geosystems
116 hu 1-s2.0-S0031920114001149-main.pdf,Physics of the Earth and Planetary Interiors 
117 hu art%3A10.1007%2Fs11589-013-0029-9.pdf,Earthquake Science
118 huang 1-s2.0-S0012821X12006772-main.pdf,Earth and Planetary Science Letters 
119 husson grl29452 (1).pdf,Geophysical Research Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,Earth and Planetary Science Letters 
121 inoue 10.5923.c.jce.201402.19.pdf,Journal of Civil Engineering Research
122 jadamec jgrb16995.pdf,Journal of Geophysical Research 
123 jadamec nature09053.pdf,Nature
124 a31-jadamec.pdf,NA
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,Earth and Planetary Science Letters 
126 jerry 869214043-MIT.pdf,MS Thesis
127 jevrejeva 1-s2.0-S0921818113002750-main.pdf,Global and Planetary Change 
128 jha 881691213-MIT.pdf,PhD Thesis
129 jha wrcr20906.pdf,Water Resources Research
130 van summeren 2041-8205_736_1_L15.pdf,Astrophysical Journal Letters
131 kaneko 1-s2.0-S0040195110002684-main.pdf,Tectonophysics
132 Geophys. J. Int.-2014-Kaneko-gji-ggu030.pdf,Geophysical Journal International 
133 karimi 1-s2.0-S0040195114001437-main.pdf,Tectonophysics
134 key nature11932.pdf,Nature
135 kim 1-s2.0-S1367912014002909-main.pdf,Journal of Asian Earth Sciences
136 Kim_et_al-2011-Geophysical_Journal_International.pdf,Geophysical Journal International 
137 King_et_al-2010-Geophysical_Journal_International.pdf,Geophysical Journal International 
138 kom 1-s2.0-S1631072110002081-main.pdf,Comptes Rendus Mecanique
139 kom 1-s2.0-S0041624X1100076X-main.pdf,Ultrasonics
140 kom 1-s2.0-S0021999110003396-main.pdf,Journal of Computational Physics
141 Komatitsch2010_Article_ModelingThePropagationOfElasti.pdf,NA
142 kom jgrb16319.pdf,Journal of Geophysical Research 
143 kreiss 110832847.pdf,Society for Industrial and Applied Mathematics 
144 krishnan 2646.full.pdf,Bulletin of the Seismological Society of America 
145 2646.pdf,Bulletin of the Seismological Society of America 
146 Kronbichler_et_al-2012-Geophysical_Journal_International.pdf,Geophysical Journal International 
147 Geophys. J. Int.-2015-Lähivaara-1662-75.pdf,Geophysical Journal International 
148 lahivaara 0266-5611_30_1_015003.pdf,Inverse Problems
149 lassak 1-s2.0-S0012821X09006591-main.pdf,Earth and Planetary Science Letters 
150 lepourhiet ggge2265.pdf,Geochemistry Geophysics Geosystems
151 lee Geology-2010-Lee-583-6.pdf,Geology
152 lee 1-s2.0-S0012821X11006315-main.pdf,Earth and Planetary Science Letters 
153 lee 1-s2.0-S0012821X14002416-main.pdf,Earth and Planetary Science Letters 
154 Geophys. J. Int.-2013-Lee-gji-ggt124.pdf,Geophysical Journal International 
155 lee 1-s2.0-S1367912014000558-main.pdf,Journal of Asian Earth Sciences
156 li art%3A10.1007%2Fs11589-009-0091-5.pdf,Earthquake Science
157 li grl51323.pdf,Geophysical Research Letters
158 li 1-s2.0-S187770581201137X-main.pdf,ternational Conference on Advances in Computational Modeling and Simulation 
159 lin grl50237.pdf,Geophysical Research Letters
160 liu nature10749.pdf,Nature
161 liu 1-s2.0-S0012821X11005474-main.pdf,Earth and Planetary Science Letters 
162 luo 0004-637X_751_1_16.pdf,Astrophysical Journal
163 luo geo2012-0462%2E1.pdf,Geophysics
164 ma Xiao_Ma.pdf,MS Thesis
165 maceira grl52498.pdf,Geophysical Research Letters
166 magnoni 73.full.pdf,Bulletin of the Seismological Society of America 
167 Miah.pdf,NA
168 manea Geology-2012-Manea-35-8.pdf,Geology
169 Geophys. J. Int.-2013-Martens-1738-54.pdf,Geophysical Journal International 
170 matharu jgrb50813.pdf,Journal of Geophysical Research: Solid Earth 
"171 Matsui_et_al-2014-Geochemistry,_Geophysics,_Geosystems.pdf",Geochemistry Geophysics Geosystems
172 matthews 1-s2.0-S1342937X10001358-main.pdf,Gondwana Research
173 Matthews_SW_Pacific_Late_Cretaceous_to_present-day_tectonics_and_geodynamics_EABS4_2012.pdf,NA
174 mauz 1-s2.0-S0277379115001158-main.pdf,Quaternary Science Reviews
175 mclaskey art%3A10.1007%2Fs00024-013-0772-9.pdf,Pure and Applied Geophysics 
176 mcnamara 1-s2.0-S0012821X10004802-main.pdf,Earth and Planetary Science Letters 
177 Melini_et_al-2010-Geophysical_Journal_International.pdf,Geophysical Journal International 
178 memin 671c25147aaf4aab8676c65820732da3e2aefd72c965a3e37a5090803dc8123b.pdf,Geophysical Journal International 
179 meng art%3A10.5047%2Feps.2012.05.010.pdf,Earth Planets Space
180 meng jgrb17044.pdf,Journal of Geophysical Research 
181 mercerat grl29280.pdf,Geophysical Research Letters
182 Meschede_et_al-2011-Geophysical_Journal_International.pdf,Geophysical Journal International 
183 michea 2c274b5da1f640f282336a91b4d159a812d792d17d8ffb62b1ebb9fc2bc78526.pdf,Geophysical Journal International 
184 michel 06236135.pdf,NA
185 miller ngeo1553.pdf,Nature Geoscience
186 Geophys. J. Int.-2013-Monteiller-230-47.pdf,Geophysical Journal International 
187 Morency_et_al-2011-Geophysical_Journal_International.pdf,Geophysical Journal International 
188 moschetti jgrb16522.pdf,Journal of Geophysical Research 
189 motoki ggge20669.pdf,Geochemistry Geophysics Geosystems
190 moussatat ar_CDGAB422.pdf,NA
191 Natarov_et_al-2012-Geophysical_Journal_International.pdf,Geophysical Journal International 
192 nielsen2014.pdf,NA
193 nielsen 1-s2.0-S026437071300135X-main.pdf,Journal of Geodynamics
