"Group.1","Group.2","co_authorships"
"U. Faul","R. Myhill",1
"Z. Eilon","R. Myhill",1
"P. J. Heron","R. N. Pysklywec",1
"P. J. Heron","R. Stephenson",1
"R. N. Pysklywec","R. Stephenson",1
"C. Hüttig","S. C. Kramer",1
"C. R. Wilson","S. C. Kramer",1
"C. Stein","S. C. Kramer",1
"D. R. Davies","S. C. Kramer",1
"H. Samuel","S. C. Kramer",1
"L. Noack","S. C. Kramer",1
"N. Tosi","S. C. Kramer",1
"P. Maierová","S. C. Kramer",1
"B. Steinberger","S. Lebedev",1
"E. Bredow","S. Lebedev",1
"C. O'Neill","S. Zhang",1
"A. Schaeffer","T. H. Torsvik",1
"B. Steinberger","T. H. Torsvik",2
"E. Bredow","T. H. Torsvik",2
"J. Dannberg","T. H. Torsvik",1
"R. Gassmöller","T. H. Torsvik",1
"S. Lebedev","T. H. Torsvik",1
"B. Buffett","T. Heister",1
"I. Rose","T. Heister",1
"J. Dannberg","T. Heister",1
"M. Kronbichler","T. Heister",1
"K. Takeyama","T. R. Saitoh",1
"J. Dannberg","U. Faul",1
"Z. Eilon","U. Faul",1
"J. Dannberg","W. Bangerth",1
"M. Kronbichler","W. Bangerth",1
"R. Gassmöller","W. Bangerth",1
"T. Heister","W. Bangerth",2
"A. Glerum","W. Spakman",2
"C. Blom","W. Spakman",1
"C. Hüttig","W. Spakman",1
"C. R. Wilson","W. Spakman",1
"C. Stein","W. Spakman",1
"C. Thieulot","W. Spakman",2
"D. R. Davies","W. Spakman",1
"H. Samuel","W. Spakman",1
"L. Noack","W. Spakman",1
"M. Fraters","W. Spakman",2
"N. Tosi","W. Spakman",1
"P. Maierová","W. Spakman",1
"S. C. Kramer","W. Spakman",1
"D. L. Turcotte","Y. He",1
"E. G. Puckett","Y. He",1
"N. Zhang","Z-X Li",1
"J. Dannberg","Z. Eilon",1
