"","ABSTRACT","ADDRESS","AUTHOR","BIBTEXKEY","BOOKTITLE","CATEGORY","CHAPTER","DOI","EDITOR","ISSN","JOURNAL","NUMBER","OPTKEYWORDS","OPTKEYWORDS.1","OPTNOTE","OPTURL","PAGES","PUBLISHER","SERIES","TITLE","VOLUME","YEAR","AUTHOR_1","AUTHOR_2","AUTHOR_3","AUTHOR_4","AUTHOR_5","AUTHOR_6","AUTHOR_7","AUTHOR_8","AUTHOR_9","AUTHOR_10","AUTHOR_11","AUTHOR_12","AUTHOR_13","AUTHOR_14","AUTHOR_15","AUTHOR_16","AUTHOR_17","AUTHOR_18","AUTHOR_19","AUTHOR_20","AUTHOR_21","AUTHOR_22","AUTHOR_23","AUTHOR_24","AUTHOR_25","AUTHOR_26","AUTHOR_27","AUTHOR_28","AUTHOR_29","AUTHOR_30","AUTHOR_31","AUTHOR_32","AUTHOR_33","AUTHOR_34","AUTHOR_35","AUTHOR_36","AUTHOR_37","AUTHOR_38","AUTHOR_39","AUTHOR_40","AUTHOR_41","AUTHOR_42","AUTHOR_43","AUTHOR_44","AUTHOR_45","AUTHOR_46","AUTHOR_47","AUTHOR_48","AUTHOR_49","AUTHOR_50","AUTHOR_51","AUTHOR_52","AUTHOR_53","AUTHOR_54","AUTHOR_55","AUTHOR_56","AUTHOR_57","AUTHOR_58","AUTHOR_59","AUTHOR_60","AUTHOR_61","AUTHOR_62","AUTHOR_63","AUTHOR_64"
"1",NA,NA,"Austermann, J. and  Pollard, D. and  Mitrovica, J. X. and  Moucha, R. and  Forte, A. M. and  DeConto, R. M. and  Rowley, D. B. and  Raymo, M. E.","Austermann_etal2015",NA,"ARTICLE",NA,"10.1130/G36988.1",NA,NA,"Geology","10","ASPECT",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1691), last updated on Fri, 11 Jan 2019 13:47:22 -0800","https://pubs.geoscienceworld.org/geology/article/43/10/927-930/131756","927--930",NA,NA,"The impact of dynamic topography change on Antarctic ice sheet stability during the mid-Pliocene warm period","43","2015","Austermann, J."," Pollard, D."," Mitrovica, J. X."," Moucha, R."," Forte, A. M."," DeConto, R. M."," Rowley, D. B."," Raymo, M. E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"Tosi, N. and  Stein, C. and  Noack, L. and  H{\""u}ttig, C. and  Maierov{\'a}, P. and  Samuel, H. and  Davies, D. R. and  Wilson, C. R. and  Kramer, S. C. and  Thieulot, C. and  Glerum, A. and  Fraters, M. and  Spakman, W. and  Rozel, A. and  Tackley, P. J.","Tosi_etal2015",NA,"ARTICLE",NA,"10.1002/2015GC005807",NA,NA,"Geochemistry, Geophysics, Geosystems","7","ASPECT",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1692), last updated on Fri, 11 Jan 2019 13:49:14 -0800","http://doi.wiley.com/10.1002/2015GC005807","2175--2196",NA,NA,"A community benchmark for viscoplastic thermal convection in a 2-D square box","16","2015","Tosi, N."," Stein, C."," Noack, L."," H{\""u}ttig, C."," Maierov{\'a}, P."," Samuel, H."," Davies, D. R."," Wilson, C. R."," Kramer, S. C."," Thieulot, C."," Glerum, A."," Fraters, M."," Spakman, W."," Rozel, A."," Tackley, P. J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"Aagaard, B. T. and  Knepley, M. G. and  Williams, C. A.","Aagaard_etal2013_2",NA,"ARTICLE",NA,"10.1002/jgrb.50217",NA,"2169-9313","Journal of Geophysical Research: Solid Earth","6","PyLith",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=621), last updated on Fri, 10 Feb 2017 10:38:28 -0800","http://doi.wiley.com/10.1002/jgrb.50217","3059--3079",NA,NA,"A domain decomposition approach to implementing fault slip in finite-element models of quasi-static and dynamic crustal deformation","118","2013","Aagaard, B. T."," Knepley, M. G."," Williams, C. A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,"Adam, J. M-C and  Romanowicz, B.","Adam+Romanowicz2015",NA,"ARTICLE",NA,"10.1016/j.pepi.2015.06.005",NA,"0031-9201","Physics of the Earth and Planetary Interiors",NA,"AxiSEM",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=754), last updated on Fri, 15 Apr 2016 13:02:33 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0031920115000941","103--116",NA,NA,"Global scale observations of scattered energy near the inner-core boundary: Seismic constraints on the base of the outer-core","245","2015","Adam, J. M-C"," Romanowicz, B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,"Agius, M. R. and  Lebedev, S.","Agius+Lebedev2014",NA,"ARTICLE",NA,"10.1093/gji/ggu326",NA,"0956-540X","Geophysical Journal International","3","Mineos",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=958), last updated on Fri, 15 Apr 2016 13:14:36 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1093/gji/ggu326","1395--1415",NA,NA,"Shear-velocity structure, radial anisotropy and dynamics of the Tibetan crust","199","2014","Agius, M. R."," Lebedev, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,"Agius, M. R. and  Lebedev, S.","Agius+Lebedev2013",NA,"ARTICLE",NA,"10.1002/ggge.20274",NA,"1525-2027","Geochemistry, Geophysics, Geosystems","10","Mineos",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=615), last updated on Fri, 15 Apr 2016 12:53:52 -0700","http://doi.wiley.com/10.1002/ggge.20274","4260--4281",NA,NA,"Tibetan and Indian lithospheres in the upper mantle beneath Tibet: Evidence from broadband surface-wave dispersion: Tibetan, Indian Lithosphere Beneath Tibet","14","2013","Agius, M. R."," Lebedev, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,"Ali, S. T. and  Freed, A. M.","Ali+Freed2010",NA,"ARTICLE",NA,"10.1111/j.1365-246X.2010.04784.x",NA,"0956540X","Geophysical Journal International","2","PyLith",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1017), last updated on Fri, 15 Apr 2016 13:17:51 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1111/j.1365-246X.2010.04784.x","557--571",NA,NA,"Contemporary deformation and stressing rates in Southern Alaska: Deformation and stressing rates in S. Alaska","183","2010","Ali, S. T."," Freed, A. M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"Allen, R. M. and  Tromp, J.","Allen+Tromp2005",NA,"ARTICLE",NA,"10.1111/j.1365-246X.2005.02600.x",NA,"0956540X","Geophysical Journal International","2","SPECFEM3D Cartesian",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=984), last updated on Fri, 15 Apr 2016 13:16:00 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1111/j.1365-246X.2005.02600.x","373--386",NA,NA,"Resolution of regional seismic models: Squeezing the Iceland anomaly","161","2005","Allen, R. M."," Tromp, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,"Alparone, S. and  Bonaccorso, A. and  Bonforte, A. and  Currenti, G.","Alparone_etal2013",NA,"ARTICLE",NA,"10.1002/jgrb.50364",NA,"2169-9313","Journal of Geophysical Research: Solid Earth","9","PyLith",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=623), last updated on Fri, 15 Apr 2016 12:54:25 -0700","http://doi.wiley.com/10.1002/jgrb.50364","5098--5108",NA,NA,"Long-term stress-strain analysis of volcano flank instability: The eastern sector of Etna from 1980 to 2012: LONG-TERM STRAIN OF ETNA UNSTABLE FLANK","118","2013","Alparone, S."," Bonaccorso, A."," Bonforte, A."," Currenti, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,"Andrews, E. R. and  Billen, M. I.","Andrews+Billen2009",NA,"ARTICLE",NA,"10.1016/j.tecto.2007.09.004",NA,"0040-1951","Tectonophysics","1-4","CitcomCU",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=761), last updated on Fri, 15 Apr 2016 13:02:57 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0040195107003186","60--69",NA,NA,"Rheologic controls on the dynamics of slab detachment","464","2009","Andrews, E. R."," Billen, M. I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,"Antonioli, F. and  Ferranti, L. and  Fontana, A. and  Amorosi, A. and  Bondesan, A. and  Braitenberg, C. and  Dutton, A. and  Fontolan, G. and  Furlani, S. and  Lambeck, K. and  Mastronuzzi, G. and  Monaco, C. and  Spada, G. and  Stocchi, P.","Antonioli_etal2009",NA,"ARTICLE",NA,"10.1016/j.quaint.2008.11.008",NA,"1040-6182","Quaternary International","1-2","SELEN",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=757), last updated on Fri, 15 Apr 2016 13:02:45 -0700","http://linkinghub.elsevier.com/retrieve/pii/S1040618208003388","102--133",NA,NA,"Holocene relative sea-level changes and vertical movements along the Italian and Istrian coastlines","206","2009","Antonioli, F."," Ferranti, L."," Fontana, A."," Amorosi, A."," Bondesan, A."," Braitenberg, C."," Dutton, A."," Fontolan, G."," Furlani, S."," Lambeck, K."," Mastronuzzi, G."," Monaco, C."," Spada, G."," Stocchi, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,"Appel{\""o}, D. and  Petersson, N. A.","Appeloe+Petersson2012",NA,"ARTICLE",NA,"10.1137/09077223X",NA,"1064-8275","SIAM Journal on Scientific Computing","6","SW4",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1069), last updated on Fri, 15 Apr 2016 13:20:49 -0700","http://epubs.siam.org/doi/abs/10.1137/09077223X","A2982-A3008",NA,NA,"A Fourth-Order Accurate Embedded Boundary Method for the Wave Equation","34","2012","Appel{\""o}, D."," Petersson, N. A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,"Arndt, N. T. and  Coltice, N. and  Helmstaedt, H. and  Gregoire, M.","Arndt_etal2009",NA,"ARTICLE",NA,"10.1016/j.lithos.2008.10.019",NA,"0024-4937","Lithos","1-2","Ellipsis3D",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=731), last updated on Fri, 15 Apr 2016 13:01:10 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0024493708002387","61--71",NA,NA,"Origin of Archean subcontinental lithospheric mantle: Some petrological constraints","109","2009","Arndt, N. T."," Coltice, N."," Helmstaedt, H."," Gregoire, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,"Arredondo, K. M. and  Billen, M. I.","Arredondo+Billen2012",NA,"ARTICLE",NA,"10.1016/j.pepi.2012.02.007",NA,"0031-9201","Physics of the Earth and Planetary Interiors",NA,"CitcomCU",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=746), last updated on Fri, 15 Apr 2016 13:02:03 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0031920112000349","1--13",NA,NA,"Rapid weakening of subducting plates from trench-parallel estimates of flexural rigidity","196-197","2012","Arredondo, K. M."," Billen, M. I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"Arrial, P-A and  Billen, M. I.","Arrial+Billen2013",NA,"ARTICLE",NA,"10.1016/j.epsl.2012.12.011",NA,"0012821X","Earth and Planetary Science Letters",NA,"Gale",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=683), last updated on Fri, 15 Apr 2016 12:58:16 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0012821X12006978","34--43",NA,NA,"Influence of geometry and eclogitization on oceanic plateau subduction","363","2013","Arrial, P-A"," Billen, M. I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,"Arrial, P-A and  Flyer, N. and  Wright, G. B. and  Kellogg, L. H.","Arrial_etal2014",NA,"ARTICLE",NA,"10.5194/gmdd-7-2033-2014",NA,"1991-962X","Geoscientific Model Development Discussions","2","CitcomS",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1108), last updated on Fri, 15 Apr 2016 13:23:04 -0700","http://www.geosci-model-dev-discuss.net/7/2033/2014/","2033--2064",NA,NA,"On the sensitivity of 3-D thermal convection codes to numerical discretization: a model intercomparison","7","2014","Arrial, P-A"," Flyer, N."," Wright, G. B."," Kellogg, L. H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,"Artru, J. and  Lognonn{\'e}, P. and  Blanc, E.","Artru_etal2001",NA,"ARTICLE",NA,"10.1029/2000GL000085",NA,"0094-8276","Geophysical Research Letters","4","Mineos",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=783), last updated on Fri, 15 Apr 2016 13:04:17 -0700","http://doi.wiley.com/10.1029/2000GL000085","697--700",NA,NA,"Normal modes modelling of post-seismic ionospheric oscillations","28","2001","Artru, J."," Lognonn{\'e}, P."," Blanc, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,"Bae, H. S. and  Shin, C. and  Cha, Y. H. and  Choi, Y. and  Min, D-J","Bae_etal2010",NA,"ARTICLE",NA,"10.1111/j.1365-2478.2010.00879.x",NA,"0016-8025","Geophysical Prospecting",NA,"SPECFEM2D",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1035), last updated on Fri, 15 Apr 2016 13:18:49 -0700","http://doi.wiley.com/10.1111/j.1365-2478.2010.00879.x","no-no",NA,NA,"2D acoustic-elastic coupled waveform inversion in the Laplace domain: 2D Laplace-domain coupled waveform inversion",NA,"2010","Bae, H. S."," Shin, C."," Cha, Y. H."," Choi, Y."," Min, D-J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,"Bakir, A. C. and  Nowack, R. L.","Bakir+Nowack2012",NA,"ARTICLE",NA,"10.1007/s00024-012-0482-8",NA,"0033-4553","Pure and Applied Geophysics","12","SPECFEM2D",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=630), last updated on Fri, 15 Apr 2016 12:54:48 -0700","http://link.springer.com/10.1007/s00024-012-0482-8","2073--2089",NA,NA,"Velocity and Attenuation Structure of the Tibetan Lithosphere Under the Hi-CLIMB Array From the Modeling of Pn Attributes","169","2012","Bakir, A. C."," Nowack, R. L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,"Bakir, A. C. and  Nowack, R. L.","Bakir+Nowack2012_2",NA,"ARTICLE",NA,"10.1007/s00024-011-0414-z",NA,"0033-4553","Pure and Applied Geophysics","9","SPECFEM2D",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=629), last updated on Fri, 15 Apr 2016 12:54:48 -0700","http://link.springer.com/10.1007/s00024-011-0414-z","1539--1556",NA,NA,"Modeling Seismic Attributes of Pn Waves using the Spectral-Element Method","169","2012","Bakir, A. C."," Nowack, R. L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,"Ballmer, M. D. and  Conrad, C. P. and  Smith, E. I. and  Harmon, N.","Ballmer_etal2013",NA,"ARTICLE",NA,"10.1130/G33804.1",NA,"0091-7613","Geology","4","CitcomCU",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1058), last updated on Fri, 15 Apr 2016 13:20:07 -0700","http://geology.gsapubs.org/cgi/doi/10.1130/G33804.1","479--482",NA,NA,"Non-hotspot volcano chains produced by migration of shear-driven upwelling toward the East Pacific Rise","41","2013","Ballmer, M. D."," Conrad, C. P."," Smith, E. I."," Harmon, N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,"Ballmer, M. D. and  Conrad, C. P. and  Smith, E. I. and  Johnsen, R.","Ballmer_etal2015",NA,"ARTICLE",NA,"10.1002/2014GC005641",NA,"1525-2027","Geochemistry, Geophysics, Geosystems","2","CitcomCU",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=595), last updated on Fri, 15 Apr 2016 12:51:19 -0700","http://doi.wiley.com/10.1002/2014GC005641","366--379",NA,NA,"Intraplate volcanism at the edges of the Colorado Plateau sustained by a combination of triggered edge-driven convection and shear-driven upwelling","16","2015","Ballmer, M. D."," Conrad, C. P."," Smith, E. I."," Johnsen, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,"Ballmer, M. D. and  Schmerr, N. C. and  Nakagawa, T. and  Ritsema, J.","Ballmer_etal2015_2",NA,"ARTICLE",NA,"10.1126/sciadv.1500815",NA,"2375-2548","Science Advances","11","CitcomS",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1039), last updated on Fri, 15 Apr 2016 13:19:10 -0700","http://advances.sciencemag.org/cgi/doi/10.1126/sciadv.1500815","e1500815-e1500815",NA,NA,"Compositional mantle layering revealed by slab stagnation at ~1000-km depth","1","2015","Ballmer, M. D."," Schmerr, N. C."," Nakagawa, T."," Ritsema, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,"Bangerth, W. and  Burstedde, C. and  Heister, T. and  Kronbichler, M.","Bangerth_etal2011",NA,"ARTICLE",NA,"10.1145/2049673.2049678",NA,"0098-3500","ACM Transactions on Mathematical Software","2","ASPECT",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1074), last updated on Thu, 21 Apr 2016 10:03:16 -0700","http://dl.acm.org/citation.cfm?doid=2049673.2049678","1--28",NA,NA,"Algorithms and data structures for massively parallel generic adaptive finite element codes","38","2011","Bangerth, W."," Burstedde, C."," Heister, T."," Kronbichler, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,"Bangerth, W. and  Hartmann, R. and  Kanschat, G.","Bangerth_etal2007",NA,"ARTICLE",NA,"10.1145/1268776.1268779",NA,"0098-3500","ACM Transactions on Mathematical Software","4","ASPECT",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1073), last updated on Thu, 21 Apr 2016 10:03:28 -0700","http://portal.acm.org/citation.cfm?doid=1268776.1268779","24-es",NA,NA,"deal.II---A general-purpose object-oriented finite element library","33","2007","Bangerth, W."," Hartmann, R."," Kanschat, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,"Barbot, S. and  Fialko, Y.","Barbot+Fialko2010",NA,"ARTICLE",NA,"10.1111/j.1365-246X.2010.04678.x",NA,"0956540X","Geophysical Journal International","3","RELAX",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1013), last updated on Fri, 15 Apr 2016 13:17:40 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1111/j.1365-246X.2010.04678.x","1124--1140",NA,NA,"A unified continuum representation of post-seismic relaxation mechanisms: semi-analytic models of afterslip, poroelastic rebound and viscoelastic flow: Semi-analytic models of postseismic transient","182","2010","Barbot, S."," Fialko, Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,"Barbot, S. and  Fialko, Y.","Barbot+Fialko2010_2",NA,"ARTICLE",NA,"10.1111/j.1365-246X.2010.04655.x",NA,"0956540X","Geophysical Journal International","2","RELAX",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1012), last updated on Fri, 15 Apr 2016 13:17:40 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1111/j.1365-246X.2010.04655.x","568--582",NA,NA,"Fourier-domain Green{\textquoteright}s function for an elastic semi-infinite solid under gravity, with applications to earthquake and volcano deformation: Fourier-domain elastic solutions","182","2010","Barbot, S."," Fialko, Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
