"","ABSTRACT","ADDRESS","AUTHOR","BIBTEXKEY","BOOKTITLE","CATEGORY","CHAPTER","DOI","EDITOR","ISSN","JOURNAL","NUMBER","OPTKEYWORDS","OPTKEYWORDS.1","OPTNOTE","OPTURL","PAGES","PUBLISHER","SERIES","TITLE","VOLUME","YEAR","AUTHOR_1","AUTHOR_2","AUTHOR_3","AUTHOR_4","AUTHOR_5","AUTHOR_6","AUTHOR_7","AUTHOR_8","AUTHOR_9","AUTHOR_10","AUTHOR_11","AUTHOR_12","AUTHOR_13","AUTHOR_14","AUTHOR_15","AUTHOR_16","AUTHOR_17","AUTHOR_18","AUTHOR_19","AUTHOR_20","AUTHOR_21","AUTHOR_22","AUTHOR_23","AUTHOR_24","AUTHOR_25","AUTHOR_26","AUTHOR_27","AUTHOR_28","AUTHOR_29","AUTHOR_30","AUTHOR_31","AUTHOR_32","AUTHOR_33","AUTHOR_34","AUTHOR_35","AUTHOR_36","AUTHOR_37","AUTHOR_38","AUTHOR_39","AUTHOR_40","AUTHOR_41","AUTHOR_42","AUTHOR_43","AUTHOR_44","AUTHOR_45","AUTHOR_46","AUTHOR_47","AUTHOR_48","AUTHOR_49","AUTHOR_50","AUTHOR_51","AUTHOR_52","AUTHOR_53","AUTHOR_54","AUTHOR_55","AUTHOR_56","AUTHOR_57","AUTHOR_58","AUTHOR_59","AUTHOR_60","AUTHOR_61","AUTHOR_62","AUTHOR_63","AUTHOR_64"
"514",NA,NA,"Tackley, P. J. and  King, S. D.","Tackley+King2003",NA,"ARTICLE",NA,"10.1029/2001GC000214",NA,"1525-2027","Geochemistry, Geophysics, Geosystems","4","ConMan",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=787), last updated on Fri, 15 Apr 2016 13:04:39 -0700","http://doi.wiley.com/10.1029/2001GC000214","n/a-n/a",NA,NA,"Testing the tracer ratio method for modeling active compositional fields in mantle convection simulations: TRACER RATIO METHOD","4","2003","Tackley, P. J."," King, S. D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515",NA,NA,"Tago, J. and  Cruz-Atienza, V. M. and  Virieux, J. and  Etienne, V. and  S{\'a}nchez-Sesma, F. J.","Tago_etal2012",NA,"ARTICLE",NA,"10.1029/2012JB009313",NA,"0148-0227","Journal of Geophysical Research: Solid Earth","B9","SPECFEM3D Cartesian",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=874), last updated on Fri, 15 Apr 2016 13:09:50 -0700","http://doi.wiley.com/10.1029/2012JB009313","n/a-n/a",NA,NA,"A 3D hp-adaptive discontinuous Galerkin method for modeling earthquake dynamics: DG-FEM FOR RUPTURE DYNAMICS","117","2012","Tago, J."," Cruz-Atienza, V. M."," Virieux, J."," Etienne, V."," S{\'a}nchez-Sesma, F. J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516",NA,NA,"Tan, E.","Tan2005",NA,"ARTICLE",NA,"10.1029/2005GL024190",NA,"0094-8276","Geophysical Research Letters","20","ConMan",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=796), last updated on Fri, 15 Apr 2016 13:05:16 -0700","http://doi.wiley.com/10.1029/2005GL024190",NA,NA,NA,"Metastable superplumes and mantle compressibility","32","2005","Tan, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517",NA,NA,"Tan, E. and  Choi, E. and  Thoutireddy, P. and  Gurnis, M. and  Aivazis, M.","Tan_etal2006",NA,"ARTICLE",NA,"10.1029/2005GC001155",NA,"1525-2027","Geochemistry, Geophysics, Geosystems","6","CitcomS",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=795), last updated on Fri, 15 Apr 2016 13:05:05 -0700","http://doi.wiley.com/10.1029/2005GC001155","n/a-n/a",NA,NA,"GeoFramework: Coupling multiple models of mantle convection within a computational framework: GEOFRAMEWORK-MANTLE CONVECTION MODELS","7","2006","Tan, E."," Choi, E."," Thoutireddy, P."," Gurnis, M."," Aivazis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518",NA,NA,"Tan, E. and  Gurnis, M. and  Han, L.","Tan_etal2002",NA,"ARTICLE",NA,"10.1029/2001GC000238",NA,"1525-2027","Geochemistry, Geophysics, Geosystems","11","CitcomS",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=788), last updated on Fri, 15 Apr 2016 13:04:39 -0700","http://doi.wiley.com/10.1029/2001GC000238","1--24",NA,NA,"Slabs in the lower mantle and their modulation of plume formation: SLABS IN THE LOWER MANTLE","3","2002","Tan, E."," Gurnis, M."," Han, L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519",NA,NA,"Tan, E. and  Leng, W. and  Zhong, S. and  Gurnis, M.","Tan_etal2011",NA,"ARTICLE",NA,"10.1029/2011GC003665",NA,"1525-2027","Geochemistry, Geophysics, Geosystems","7","CitcomS",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=855), last updated on Fri, 15 Apr 2016 13:08:32 -0700","http://doi.wiley.com/10.1029/2011GC003665","n/a-n/a",NA,NA,"On the location of plumes and lateral movement of thermochemical structures with high bulk modulus in the 3-D compressible mantle: PLUMES AND CHEMICAL STRUCTURES","12","2011","Tan, E."," Leng, W."," Zhong, S."," Gurnis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520",NA,NA,"Tanton, L. T. E. and  Hager, B. H.","Tanton+Hager2000",NA,"ARTICLE",NA,"10.1029/2000GL011751",NA,"0094-8276","Geophysical Research Letters","23","ConMan",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=784), last updated on Fri, 15 Apr 2016 13:04:28 -0700","http://doi.wiley.com/10.1029/2000GL011751","3937--3940",NA,NA,"Melt intrusion as a trigger for lithospheric foundering and the eruption of the Siberian flood basalts","27","2000","Tanton, L. T. E."," Hager, B. H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521",NA,NA,"Tape, C. and  Liu, Q. and  Maggi, A. and  Tromp, J.","Tape_etal2010",NA,"ARTICLE",NA,"10.1111/j.1365-246X.2009.04429.x",NA,"0956540X","Geophysical Journal International","1","Flexwin","SPECFEM3D Cartesian","exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1008), last updated on Fri, 15 Apr 2016 13:17:21 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1111/j.1365-246X.2009.04429.x","433--462",NA,NA,"Seismic tomography of the southern California crust based on spectral-element and adjoint methods","180","2010","Tape, C."," Liu, Q."," Maggi, A."," Tromp, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522",NA,NA,"Tape, C. and  Liu, Q. and  Maggi, A. and  Tromp, J.","Tape_etal2009",NA,"ARTICLE",NA,"10.1126/science.1175298",NA,"0036-8075","Science","5943","SPECFEM3D Cartesian",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1042), last updated on Fri, 15 Apr 2016 13:19:19 -0700","http://www.sciencemag.org/cgi/doi/10.1126/science.1175298","988--992",NA,NA,"Adjoint Tomography of the Southern California Crust","325","2009","Tape, C."," Liu, Q."," Maggi, A."," Tromp, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523",NA,NA,"Tape, C. and  Liu, Q. and  Tromp, J.","Tape_etal2007",NA,"ARTICLE",NA,"10.1111/j.1365-246X.2006.03191.x",NA,"0956540X","Geophysical Journal International","3","SPECFEM2D",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=988), last updated on Fri, 15 Apr 2016 13:16:19 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1111/j.1365-246X.2006.03191.x","1105--1129",NA,NA,"Finite-frequency tomography using adjoint methods-Methodology and examples using membrane surface waves","168","2007","Tape, C."," Liu, Q."," Tromp, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524",NA,NA,"Taylor, B. and  Weiss, J. R. and  Goodliffe, A. M. and  Sachpazi, M. and  Laigle, M. and  Hirn, A.","Taylor_etal2011",NA,"ARTICLE",NA,"10.1111/j.1365-246X.2011.05014.x",NA,"0956540X","Geophysical Journal International","3","PyLith",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1544), last updated on Wed, 20 Dec 2017 10:54:42 -0800","https://academic.oup.com/gji/article-lookup/doi/10.1111/j.1365-246X.2011.05014.x","1189--1219",NA,NA,"The structures, stratigraphy and evolution of the Gulf of Corinth rift, Greece","185","2011","Taylor, B."," Weiss, J. R."," Goodliffe, A. M."," Sachpazi, M."," Laigle, M."," Hirn, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525",NA,NA,"Th{\'e}baud, N. and  Rey, P. F.","Thebaud+Rey2013",NA,"ARTICLE",NA,"10.1016/j.precamres.2012.03.001",NA,"0301-9268","Precambrian Research",NA,"Ellipsis3D",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=755), last updated on Fri, 15 Apr 2016 13:02:33 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0301926812000769","93--104",NA,NA,"Archean gravity-driven tectonics on hot and flooded continents: Controls on long-lived mineralised hydrothermal systems away from continental margins","229","2013","Th{\'e}baud, N."," Rey, P. F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526",NA,NA,"Thompson, J. and  Simons, M. and  Tsai, V. C.","Thompson_etal2014",NA,"ARTICLE",NA,"10.5194/tc-8-2007-2014",NA,"1994-0424","The Cryosphere","6","PyLith",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1115), last updated on Fri, 15 Apr 2016 13:23:28 -0700","http://www.the-cryosphere.net/8/2007/2014/","2007--2029",NA,NA,"Modeling the elastic transmission of tidal stresses to great distances inland in channelized ice streams","8","2014","Thompson, J."," Simons, M."," Tsai, V. C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527",NA,NA,"Thompson, J. M.","Thompson2013",NA,"PHDTHESIS",NA,NA,NA,NA,NA,NA,NA,NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1139), last updated on Mon, 02 May 2016 10:04:33 -0700",NA,NA,"Citeseer",NA,"The short-timescale behavior of glacial ice",NA,"2013","Thompson, J. M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528",NA,NA,"Tiwari, R. C.","Tiwari2015",NA,"ARTICLE",NA,"10.1061/(ASCE)GM.1943-5622.0000399",NA,"1532-3641","International Journal of Geomechanics","3","SPECFEM3D GEOTECH",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1441), last updated on Sun, 09 Apr 2017 22:08:36 -0700","http://ascelibrary.org/doi/10.1061/\%28ASCE\%29GM.1943-5622.0000399","04014051",NA,NA,"Simplified Numerical Implementation in Slope Stability Modeling","15","2015","Tiwari, R. C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
