"Group.1","Group.2","Number_of_relationship_type","Relationship_type"
"C. R. Wilson","M. Fraters",1,"co-authorship"
"C. Stein","M. Fraters",1,"co-authorship"
"C. Thieulot","M. Fraters",2,"co-authorship"
"D. R. Davies","M. Fraters",1,"co-authorship"
"H. Samuel","M. Fraters",1,"co-authorship"
"L. Noack","M. Fraters",1,"co-authorship"
"N. Tosi","M. Fraters",1,"co-authorship"
"P. Maierová","M. Fraters",1,"co-authorship"
"S. C. Kramer","M. Fraters",1,"co-authorship"
"E. G. Puckett","M. I. Billen",1,"co-authorship"
"Y. He","M. I. Billen",1,"co-authorship"
"J. Austermann","P. Huybers",1,"co-authorship"
"J. X. Mitrovica","P. Huybers",1,"co-authorship"
"A. Glerum","P. J. Tackley",1,"co-authorship"
"A. Rozel","P. J. Tackley",1,"co-authorship"
"C. Hüttig","P. J. Tackley",1,"co-authorship"
"C. R. Wilson","P. J. Tackley",1,"co-authorship"
"C. Stein","P. J. Tackley",1,"co-authorship"
"C. Thieulot","P. J. Tackley",1,"co-authorship"
"D. R. Davies","P. J. Tackley",1,"co-authorship"
"H. Samuel","P. J. Tackley",1,"co-authorship"
"L. Noack","P. J. Tackley",1,"co-authorship"
"M. Fraters","P. J. Tackley",1,"co-authorship"
"N. Tosi","P. J. Tackley",1,"co-authorship"
"P. Maierová","P. J. Tackley",1,"co-authorship"
"S. C. Kramer","P. J. Tackley",1,"co-authorship"
"W. Spakman","P. J. Tackley",1,"co-authorship"
"C. Hüttig","P. Maierová",1,"co-authorship"
"C. Stein","P. Maierová",1,"co-authorship"
"L. Noack","P. Maierová",1,"co-authorship"
"N. Tosi","P. Maierová",1,"co-authorship"
"J. Dannberg","P. Moulik",1,"co-authorship"
"R. Gassmöller","P. Moulik",1,"co-authorship"
"U. Faul","P. Moulik",1,"co-authorship"
"Z. Eilon","P. Moulik",1,"co-authorship"
"B. Steinberger","R. Gassmöller",1,"co-authorship"
"E. Bredow","R. Gassmöller",1,"co-authorship"
"J. Dannberg","R. Gassmöller",3,"co-authorship"
"T. Heister","R. Gassmöller",1,"co-authorship"
"U. Faul","R. Gassmöller",1,"co-authorship"
"Z. Eilon","R. Gassmöller",1,"co-authorship"
"A. M. Forte","R. M. DeConto",1,"co-authorship"
"D. Pollard","R. M. DeConto",1,"co-authorship"
"J. Austermann","R. M. DeConto",1,"co-authorship"
"J. X. Mitrovica","R. M. DeConto",1,"co-authorship"
"R. Moucha","R. M. DeConto",1,"co-authorship"
"D. Pollard","R. Moucha",1,"co-authorship"
"J. Austermann","R. Moucha",1,"co-authorship"
"J. X. Mitrovica","R. Moucha",1,"co-authorship"
"J. Dannberg","R. Myhill",1,"co-authorship"
"P. Moulik","R. Myhill",1,"co-authorship"
"R. Gassmöller","R. Myhill",1,"co-authorship"
"U. Faul","R. Myhill",1,"co-authorship"
"Z. Eilon","R. Myhill",1,"co-authorship"
"P. J. Heron","R. N. Pysklywec",1,"co-authorship"
"P. J. Heron","R. Stephenson",1,"co-authorship"
"R. N. Pysklywec","R. Stephenson",1,"co-authorship"
"C. Hüttig","S. C. Kramer",1,"co-authorship"
"C. R. Wilson","S. C. Kramer",1,"co-authorship"
"C. Stein","S. C. Kramer",1,"co-authorship"
"D. R. Davies","S. C. Kramer",1,"co-authorship"
"H. Samuel","S. C. Kramer",1,"co-authorship"
"L. Noack","S. C. Kramer",1,"co-authorship"
"N. Tosi","S. C. Kramer",1,"co-authorship"
"P. Maierová","S. C. Kramer",1,"co-authorship"
"B. Steinberger","S. Lebedev",1,"co-authorship"
"E. Bredow","S. Lebedev",1,"co-authorship"
"C. O'Neill","S. Zhang",1,"co-authorship"
"A. Schaeffer","T. H. Torsvik",1,"co-authorship"
"B. Steinberger","T. H. Torsvik",2,"co-authorship"
"E. Bredow","T. H. Torsvik",2,"co-authorship"
"J. Dannberg","T. H. Torsvik",1,"co-authorship"
"R. Gassmöller","T. H. Torsvik",1,"co-authorship"
"S. Lebedev","T. H. Torsvik",1,"co-authorship"
"B. Buffett","T. Heister",1,"co-authorship"
"I. Rose","T. Heister",1,"co-authorship"
"J. Dannberg","T. Heister",1,"co-authorship"
"M. Kronbichler","T. Heister",1,"co-authorship"
"K. Takeyama","T. R. Saitoh",1,"co-authorship"
"J. Dannberg","U. Faul",1,"co-authorship"
"Z. Eilon","U. Faul",1,"co-authorship"
"J. Dannberg","W. Bangerth",1,"co-authorship"
"M. Kronbichler","W. Bangerth",1,"co-authorship"
"R. Gassmöller","W. Bangerth",1,"co-authorship"
"T. Heister","W. Bangerth",2,"co-authorship"
"A. Glerum","W. Spakman",2,"co-authorship"
"C. Blom","W. Spakman",1,"co-authorship"
"C. Hüttig","W. Spakman",1,"co-authorship"
"C. R. Wilson","W. Spakman",1,"co-authorship"
"C. Stein","W. Spakman",1,"co-authorship"
"C. Thieulot","W. Spakman",2,"co-authorship"
"D. R. Davies","W. Spakman",1,"co-authorship"
"H. Samuel","W. Spakman",1,"co-authorship"
"L. Noack","W. Spakman",1,"co-authorship"
"M. Fraters","W. Spakman",2,"co-authorship"
"N. Tosi","W. Spakman",1,"co-authorship"
"P. Maierová","W. Spakman",1,"co-authorship"
"S. C. Kramer","W. Spakman",1,"co-authorship"
"D. L. Turcotte","Y. He",1,"co-authorship"
"E. G. Puckett","Y. He",1,"co-authorship"
"N. Zhang","Z-X Li",1,"co-authorship"
"J. Dannberg","Z. Eilon",1,"co-authorship"
"A. Glerum","C. Thieulot",5,"co-hacks"
"A. Glerum","I. Rose",4,"co-hacks"
"A. Glerum","J. Austermann",5,"co-hacks"
"A. Glerum","J. Dannberg",5,"co-hacks"
"A. Glerum","K. Arredondo",1,"co-hacks"
