"Group.1","Group.2","Relationship_type","Count","co_hacks"
"B. Myhill","M. Rudolph","hack_2015",1,1
"B. Myhill","M. Fraters","hack_2015",1,3
"B. Myhill","R. Gassmöller","hack_2015",1,3
"B. Myhill","R. Grove","hack_2015",1,2
"B. Myhill","S. Stamps","hack_2015",1,1
"B. Myhill","S. Tarlow","hack_2015",1,1
"B. Myhill","S. Liu","hack_2015",1,2
"B. Myhill","T. Heister","hack_2015",1,3
"B. Myhill","W. Bangerth","hack_2015",1,3
"B. Myhill","Y. He","hack_2015",1,2
"C. Branecky","C. Thieulot","hack_2015",1,1
"C. Branecky","E. G. Puckett","hack_2015",1,1
"C. Branecky","E. Bredow","hack_2015",1,1
"C. Branecky","I. Rose","hack_2015",1,1
"C. Branecky","J. Austermann","hack_2015",1,1
"C. Branecky","J. Perry-Houts","hack_2015",1,1
"C. Branecky","J. Dannberg","hack_2015",1,1
"C. Branecky","K. Moore","hack_2015",1,1
"C. Branecky","L. Hwang","hack_2015",1,1
"C. Branecky","L. H. Kellogg","hack_2015",1,1
"C. Branecky","M. Rudolph","hack_2015",1,1
"C. Branecky","M. Fraters","hack_2015",1,1
"C. Branecky","R. Gassmöller","hack_2015",1,1
"C. Branecky","R. Grove","hack_2015",1,1
"C. Branecky","S. Stamps","hack_2015",1,1
"C. Branecky","S. Tarlow","hack_2015",1,1
"C. Branecky","S. Liu","hack_2015",1,1
"C. Branecky","T. Heister","hack_2015",1,1
"C. Branecky","W. Bangerth","hack_2015",1,1
"C. Branecky","Y. He","hack_2015",1,1
"C. Thieulot","E. G. Puckett","hack_2015",1,4
"C. Thieulot","E. Bredow","hack_2015",1,1
"C. Thieulot","I. Rose","hack_2015",1,4
"C. Thieulot","J. Austermann","hack_2015",1,5
"C. Thieulot","J. Perry-Houts","hack_2015",1,1
"C. Thieulot","J. Dannberg","hack_2015",1,5
"C. Thieulot","K. Moore","hack_2015",1,1
"C. Thieulot","L. Hwang","hack_2015",1,4
"C. Thieulot","L. H. Kellogg","hack_2015",1,2
"C. Thieulot","M. Rudolph","hack_2015",1,1
"C. Thieulot","M. Fraters","hack_2015",1,5
"C. Thieulot","R. Gassmöller","hack_2015",1,5
"C. Thieulot","R. Grove","hack_2015",1,3
"C. Thieulot","S. Stamps","hack_2015",1,2
"C. Thieulot","S. Tarlow","hack_2015",1,1
"C. Thieulot","S. Liu","hack_2015",1,3
"C. Thieulot","T. Heister","hack_2015",1,5
"C. Thieulot","W. Bangerth","hack_2015",1,5
"C. Thieulot","Y. He","hack_2015",1,3
"E. G. Puckett","E. Bredow","hack_2015",1,1
"E. G. Puckett","I. Rose","hack_2015",1,3
"E. G. Puckett","J. Austermann","hack_2015",1,4
"E. G. Puckett","J. Perry-Houts","hack_2015",1,1
"E. G. Puckett","J. Dannberg","hack_2015",1,4
"E. G. Puckett","K. Moore","hack_2015",1,1
"E. G. Puckett","L. Hwang","hack_2015",1,4
"E. G. Puckett","L. H. Kellogg","hack_2015",1,2
"E. G. Puckett","M. Rudolph","hack_2015",1,1
"E. G. Puckett","M. Fraters","hack_2015",1,4
"E. G. Puckett","R. Gassmöller","hack_2015",1,4
"E. G. Puckett","R. Grove","hack_2015",1,2
"E. G. Puckett","S. Stamps","hack_2015",1,1
"E. G. Puckett","S. Tarlow","hack_2015",1,1
"E. G. Puckett","S. Liu","hack_2015",1,3
"E. G. Puckett","T. Heister","hack_2015",1,4
"E. G. Puckett","W. Bangerth","hack_2015",1,4
"E. G. Puckett","Y. He","hack_2015",1,3
"E. Bredow","I. Rose","hack_2015",1,1
"E. Bredow","J. Austermann","hack_2015",1,1
"E. Bredow","J. Perry-Houts","hack_2015",1,1
"E. Bredow","J. Dannberg","hack_2015",1,1
"E. Bredow","K. Moore","hack_2015",1,1
"E. Bredow","L. Hwang","hack_2015",1,1
"E. Bredow","L. H. Kellogg","hack_2015",1,1
"E. Bredow","M. Rudolph","hack_2015",1,1
"E. Bredow","M. Fraters","hack_2015",1,1
"E. Bredow","R. Gassmöller","hack_2015",1,1
"E. Bredow","R. Grove","hack_2015",1,1
"E. Bredow","S. Stamps","hack_2015",1,1
"E. Bredow","S. Tarlow","hack_2015",1,1
"E. Bredow","S. Liu","hack_2015",1,1
"E. Bredow","T. Heister","hack_2015",1,1
"E. Bredow","W. Bangerth","hack_2015",1,1
"E. Bredow","Y. He","hack_2015",1,1
"I. Rose","J. Austermann","hack_2015",1,4
"I. Rose","J. Perry-Houts","hack_2015",1,1
"I. Rose","J. Dannberg","hack_2015",1,4
"I. Rose","K. Moore","hack_2015",1,1
"I. Rose","L. Hwang","hack_2015",1,3
"I. Rose","L. H. Kellogg","hack_2015",1,2
"I. Rose","M. Rudolph","hack_2015",1,1
"I. Rose","M. Fraters","hack_2015",1,4
"I. Rose","R. Gassmöller","hack_2015",1,4
"I. Rose","R. Grove","hack_2015",1,3
"I. Rose","S. Stamps","hack_2015",1,2
"I. Rose","S. Tarlow","hack_2015",1,1
"I. Rose","S. Liu","hack_2015",1,3
"I. Rose","T. Heister","hack_2015",1,4
"I. Rose","W. Bangerth","hack_2015",1,4
"I. Rose","Y. He","hack_2015",1,3
"J. Austermann","J. Perry-Houts","hack_2015",1,1
"J. Austermann","J. Dannberg","hack_2015",1,5
"J. Austermann","K. Moore","hack_2015",1,1
"J. Austermann","L. Hwang","hack_2015",1,4
"J. Austermann","L. H. Kellogg","hack_2015",1,2
"J. Austermann","M. Rudolph","hack_2015",1,1
"J. Austermann","M. Fraters","hack_2015",1,5
"J. Austermann","R. Gassmöller","hack_2015",1,5
"J. Austermann","R. Grove","hack_2015",1,3
"J. Austermann","S. Stamps","hack_2015",1,2
"J. Austermann","S. Tarlow","hack_2015",1,1
"J. Austermann","S. Liu","hack_2015",1,3
"J. Austermann","T. Heister","hack_2015",1,5
"J. Austermann","W. Bangerth","hack_2015",1,5
"J. Austermann","Y. He","hack_2015",1,3
"J. Perry-Houts","J. Dannberg","hack_2015",1,1
"J. Perry-Houts","K. Moore","hack_2015",1,1
"J. Perry-Houts","L. Hwang","hack_2015",1,1
"J. Perry-Houts","L. H. Kellogg","hack_2015",1,1
"J. Perry-Houts","M. Rudolph","hack_2015",1,1
"J. Perry-Houts","M. Fraters","hack_2015",1,1
"J. Perry-Houts","R. Gassmöller","hack_2015",1,1
"J. Perry-Houts","R. Grove","hack_2015",1,1
"J. Perry-Houts","S. Stamps","hack_2015",1,1
"J. Perry-Houts","S. Tarlow","hack_2015",1,1
"J. Perry-Houts","S. Liu","hack_2015",1,1
"J. Perry-Houts","T. Heister","hack_2015",1,1
"J. Perry-Houts","W. Bangerth","hack_2015",1,1
"J. Perry-Houts","Y. He","hack_2015",1,1
"J. Dannberg","K. Moore","hack_2015",1,1
"J. Dannberg","L. Hwang","hack_2015",1,4
"J. Dannberg","L. H. Kellogg","hack_2015",1,2
"J. Dannberg","M. Rudolph","hack_2015",1,1
"J. Dannberg","M. Fraters","hack_2015",1,5
"J. Dannberg","R. Gassmöller","hack_2015",1,5
"J. Dannberg","R. Grove","hack_2015",1,3
"J. Dannberg","S. Stamps","hack_2015",1,2
"J. Dannberg","S. Tarlow","hack_2015",1,1
"J. Dannberg","S. Liu","hack_2015",1,3
"J. Dannberg","T. Heister","hack_2015",1,5
"J. Dannberg","W. Bangerth","hack_2015",1,5
"J. Dannberg","Y. He","hack_2015",1,3
"K. Moore","L. Hwang","hack_2015",1,1
